commodity,current,forecast_30d,change,trend
Potato,500.0,2621.01,424.2%,📈 Rising
Water Melon,400.0,1111.77,177.9%,📈 Rising
Onion,1180.0,3005.59,154.7%,📈 Rising
Pumpkin,500.0,1245.5,149.1%,📈 Rising
Bhindi(Ladies Finger),1200.0,2932.46,144.4%,📈 Rising
Colacasia,2100.0,4961.9,136.3%,📈 Rising
Banana,1200.0,2555.82,113.0%,📈 Rising
Bottle gourd,600.0,1261.51,110.3%,📈 Rising
Beetroot,1700.0,3553.45,109.0%,📈 Rising
Ridgeguard(Tori),1300.0,2643.2,103.3%,📈 Rising
Ashgourd,900.0,1800.0,100.0%,📈 Rising
Cauliflower,800.0,1577.16,97.1%,📈 Rising
Banana - Green,1700.0,3278.95,92.9%,📈 Rising
Sponge gourd,1220.0,2301.67,88.7%,📈 Rising
Papaya,1800.0,3146.93,74.8%,📈 Rising
Brinjal,1200.0,2054.95,71.2%,📈 Rising
Snakeguard,1800.0,3077.08,70.9%,📈 Rising
Raddish,1400.0,2298.82,64.2%,📈 Rising
Cowpea(Veg),2500.0,4000.0,60.0%,📈 Rising
Apple,7500.0,11928.56,59.0%,📈 Rising
Tinda,1650.0,2540.0,53.9%,📈 Rising
Pineapple,2800.0,4243.33,51.5%,📈 Rising
Peas Wet,4500.0,6325.0,40.6%,📈 Rising
Rice,2600.0,3643.37,40.1%,📈 Rising
Pomegranate,7500.0,9858.33,31.4%,📈 Rising
Mousambi(Sweet Lime),3498.0,4496.6,28.5%,📈 Rising
Cabbage,900.0,1099.56,22.2%,📈 Rising
Cluster beans,3500.0,4180.0,19.4%,📈 Rising
Carrot,2250.0,2649.37,17.7%,📈 Rising
Capsicum,2820.0,3226.0,14.4%,📈 Rising
Bitter gourd,3000.0,3424.49,14.1%,📈 Rising
Bajra(Pearl Millet/Cumbu),2050.0,2290.46,11.7%,📈 Rising
Gur(Jaggery),3600.0,3984.38,10.7%,📈 Rising
Lemon,7100.0,7644.38,7.7%,📈 Rising
Drumstick,5800.0,6197.73,6.9%,📈 Rising
Spinach,1750.0,1830.77,4.6%,📈 Rising
Coriander(Leaves),3750.0,3880.56,3.5%,📈 Rising
Wheat,2620.0,2671.39,2.0%,➡️ Stable
Soyabean,4062.0,4098.07,0.9%,➡️ Stable
Arhar (Tur/Red Gram)(Whole),5416.0,5294.08,-2.3%,➡️ Stable
Lentil (Masur)(Whole),6600.0,6449.62,-2.3%,➡️ Stable
Mustard,6350.0,6207.05,-2.3%,➡️ Stable
Green Gram (Moong)(Whole),7425.0,7108.13,-4.3%,📉 Falling
Paddy(Dhan)(Common),2400.0,2274.57,-5.2%,📉 Falling
Little gourd (Kundru),3500.0,3161.54,-9.7%,📉 Falling
Maize,2375.0,2108.43,-11.2%,📉 Falling
Cotton,8109.0,7046.86,-13.1%,📉 Falling
Bengal Gram(Gram)(Whole),6700.0,5685.18,-15.1%,📉 Falling
Amphophalus,7200.0,5918.18,-17.8%,📉 Falling
French Beans (Frasbean),8600.0,6964.29,-19.0%,📉 Falling
Mango (Raw-Ripe),4000.0,3039.29,-24.0%,📉 Falling
Groundnut,6950.0,5035.36,-27.5%,📉 Falling
Jowar(Sorghum),5250.0,3427.68,-34.7%,📉 Falling
Green Chilli,5000.0,3231.74,-35.4%,📉 Falling
Ginger(Green),5000.0,3219.33,-35.6%,📉 Falling
Cucumbar(Kheera),2800.0,1753.72,-37.4%,📉 Falling
Amaranthus,6000.0,3019.44,-49.7%,📉 Falling
Pointed gourd (Parval),7800.0,3732.37,-52.1%,📉 Falling
Tomato,2100.0,817.68,-61.1%,📉 Falling
Mango,8500.0,2815.86,-66.9%,📉 Falling
Garlic,10750.0,1720.37,-84.0%,📉 Falling
